ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
142,variation,,"Triangulum Hoodie - Red",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-red.jpg,,,id:119,,,,,,0,color,Red,,1
143,variation,,"Triangulum Hoodie - Purple",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-purple.jpg,,,id:119,,,,,,0,color,Purple,,1
166,variation,,"Triangulum Hoodie - Purple",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-purple.jpg,,,id:119,,,,,,0,color,Purple,,1
167,variation,,"Triangulum Hoodie - Gray",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-gray.jpg,,,id:119,,,,,,0,color,Gray,,1
168,variation,,"Triangulum Hoodie - Gray",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-gray.jpg,,,id:119,,,,,,0,color,Gray,,1
169,variation,,"Triangulum Hoodie - Blue",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-blue.jpg,,,id:119,,,,,,0,color,Blue,,1
174,variable,,"Andromeda Hoodie",1,1,visible,"One of our favorite designs in the collection. Designed by the great Paul Rand, this triblend (50% Polyester, 25% Cotton, 25% Rayon) hoodie comes in heather gray with 3 color waterbased print. Manufactured and printed in the USA.","The most common form of commercial T-shirt decoration is screen-printing. In screen-printing, a design is separated into individual colors. Plastisol or water based inks are applied to the shirt through mesh screens which limits the areas where ink is deposited. In most commercial T-shirt printing, the specific colors in the design are used.
\n<h3>100% Cotton White</h3>
\nTo achieve a wider color spectrum with a limited number of colors, process printing or simulated process is effective. Process printing is best suited for light colored shirts. Simulated process is best suited for dark colored shirts.
\n<h3>Eco-friendly Materials</h3>
\nBefore the hippie movement Rit Dye was known as a hobby for older women. Other methods of decorating shirts include using paints, markers, fabric transfer crayons, dyes, spray paint, and many more. Some techniques that can be used include sponging, stenciling, daubing, stamping, screen printing, bleaching, and many more.",,,taxable,,1,,,0,0,,,,,1,,,,Hoodies,Featured,,"https://image-will-be-imported-locally/hoodie-gray.jpg, https://image-will-be-imported-locally/hoodie-red.jpg, https://image-will-be-imported-locally/hoodie-charcoal.jpg, https://image-will-be-imported-locally/hoodie-purple.jpg",,,,,,id:116,,,1,color,"Blue, Charcoal, Purple, Red",1,1
175,variation,,"Andromeda Hoodie - Red",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-red.jpg,,,id:174,,,id:116,,,0,color,Red,,1
176,variation,,"Andromeda Hoodie - Red",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-red.jpg,,,id:174,,,id:116,,,0,color,Red,,1
177,variation,,"Andromeda Hoodie - Purple",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-purple.jpg,,,id:174,,,id:116,,,0,color,Purple,,1
178,variation,,"Andromeda Hoodie - Charcoal",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-charcoal.jpg,,,id:174,,,id:116,,,0,color,Charcoal,,1
179,variation,,"Andromeda Hoodie - Blue",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-blue.jpg,,,id:174,,,id:116,,,0,color,Blue,,1
180,variation,,"Andromeda Hoodie - Blue",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,https://image-will-be-imported-locally/hoodie-blue.jpg,,,id:174,,,id:116,,,0,color,Blue,,1
277,simple,,"Toasty Cap Wool",1,1,visible,"Our Toasty Cap is a tightly knit acrylic beanie in a double layer style to keep you cozy wherever your trails take you. Our Toasty Cap is sturdy and warm for wearing all winter and beyond.","A beanie is a head-hugging brimless cap, made from triangular panels of material joined by a button at the crown and seamed together around the sides. Commonly made of cloth or felt material, beanies may also be made from leather or silk. In some US regions and parts of Canada the term ""beanie"" refers to a knitted cap (often woollen), alternately called a ""stocking cap"" or ""tuque"".",,,taxable,,1,,,0,0,,,,,1,,19,29,Hats,,,"https://image-will-be-imported-locally/hat-3.jpg",,,,,,,,,20,,,,
288,simple,,"Toasty Cap Cotton",1,1,visible,"Our Toasty Cap is a tightly knit acrylic beanie in a double layer style to keep you cozy wherever your trails take you. Our Toasty Cap is sturdy and warm for wearing all winter and beyond.","A beanie is a head-hugging brimless cap, made from triangular panels of material joined by a button at the crown and seamed together around the sides. Commonly made of cloth or felt material, beanies may also be made from leather or silk. In some US regions and parts of Canada the term ""beanie"" refers to a knitted cap (often woollen), alternately called a ""stocking cap"" or ""tuque"".",,,taxable,,1,,,0,0,,,,,1,,19,29,Hats,,,"https://image-will-be-imported-locally/hat-2.jpg",,,,,,,,,18,,,,
289,simple,,"Toasty Cap Eco",1,1,visible,"Our Toasty Cap is a tightly knit acrylic beanie in a double layer style to keep you cozy wherever your trails take you. Our Toasty Cap is sturdy and warm for wearing all winter and beyond.","A beanie is a head-hugging brimless cap, made from triangular panels of material joined by a button at the crown and seamed together around the sides. Commonly made of cloth or felt material, beanies may also be made from leather or silk. In some US regions and parts of Canada the term ""beanie"" refers to a knitted cap (often woollen), alternately called a ""stocking cap"" or ""tuque"".",,,taxable,,1,,,0,0,,,,,1,,19,29,Hats,,,"https://image-will-be-imported-locally/hat-1.jpg",,,,,,,,,19,,,,
